epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,12620.7,0.61212,0.29897,0.78377,0.96942,0.99091,0.98397,0.83829,0.64083,0.30853,0.80881,0.0003962,0.0003962,0.0003962
164,12698,0.62639,0.31139,0.79053,0.96716,0.99394,0.98619,0.83813,0.64666,0.30472,0.80808,0.0003863,0.0003863,0.0003863
165,12775.2,0.61457,0.30491,0.78258,0.97558,0.98788,0.98512,0.84097,0.63868,0.30547,0.81047,0.0003764,0.0003764,0.0003764
166,12852.4,0.59458,0.29878,0.78545,0.97316,0.98895,0.98599,0.82969,0.66287,0.30932,0.81201,0.0003665,0.0003665,0.0003665
167,12929.6,0.61349,0.30841,0.7839,0.97233,0.98788,0.98332,0.83427,0.66006,0.3183,0.80826,0.0003566,0.0003566,0.0003566
168,13006.6,0.59708,0.29414,0.7845,0.9729,0.99091,0.98435,0.8309,0.65412,0.31317,0.80544,0.0003467,0.0003467,0.0003467
169,13083.4,0.57747,0.29208,0.7863,0.96361,0.98788,0.98366,0.83617,0.65178,0.31452,0.80508,0.0003368,0.0003368,0.0003368
170,13160.1,0.6104,0.30144,0.77881,0.95733,0.98788,0.98187,0.83798,0.66702,0.31825,0.8061,0.0003269,0.0003269,0.0003269
171,13237,0.60847,0.30077,0.78992,0.96619,0.99091,0.98345,0.83606,0.65968,0.31352,0.804,0.000317,0.000317,0.000317
172,13313.8,0.60146,0.30058,0.78138,0.97101,0.98788,0.98435,0.83911,0.67032,0.31984,0.80738,0.0003071,0.0003071,0.0003071
173,13390.6,0.61169,0.30163,0.78648,0.97597,0.98788,0.98691,0.83904,0.64666,0.31385,0.80887,0.0002972,0.0002972,0.0002972
174,13467.7,0.60494,0.29891,0.78479,0.96736,0.98786,0.9845,0.83789,0.65945,0.31409,0.80969,0.0002873,0.0002873,0.0002873
175,13545,0.59444,0.28989,0.78088,0.97026,0.98879,0.98484,0.83357,0.65327,0.31358,0.80745,0.0002774,0.0002774,0.0002774
176,13622.4,0.58692,0.29366,0.79145,0.97275,0.97362,0.98399,0.83237,0.67398,0.321,0.8051,0.0002675,0.0002675,0.0002675
177,13699.6,0.57937,0.29206,0.78229,0.9758,0.98182,0.98388,0.84039,0.64952,0.30483,0.80644,0.0002576,0.0002576,0.0002576
178,13776.8,0.59072,0.29094,0.78613,0.97348,0.98788,0.98297,0.83319,0.66162,0.31099,0.80883,0.0002477,0.0002477,0.0002477
179,13853.9,0.56908,0.28379,0.78341,0.96736,0.98803,0.98318,0.8308,0.66562,0.31252,0.8053,0.0002378,0.0002378,0.0002378
180,13930.8,0.58992,0.29033,0.78232,0.97602,0.98674,0.98357,0.83565,0.65549,0.31161,0.80344,0.0002279,0.0002279,0.0002279
